/* Table of DAC offset/Gain correction per card */
/* pcb_id: gives the unique board id
/* ch[0,1]corr_x_y: for each channel gives the DAC offset/gain correction to apply for the 9 offset/gain valid combination:0/-22db 0/-16db 0/-10db 0/-4db 0/-2db 0/8db 0/14db 0/20db 2.5/14db
/* pcb_id ch0_0_-22 ch0_0_-16 ch0_0_-10 ch0_0_-4 ch0_0_2 ch0_0_8 ch0_0_14 ch0_0_20 ch0_2.5_14 ch1_0_-22 ch1_0_-16 ch1_0_-10 ch1_0_-4 ch1_0_2 ch1_0_8 ch1_0_14 ch1_0_20 ch1_2.5_14
0xab00000023af6322 0x05018000 0x02de8000 0x01ad8000 0x01308000 0x00dc8000 0x00ae8000 0x00928000 0x00848000 0x01ca8000 0x06788000 0x037a8000 0x022a8000 0x01538000 0x00f48000 0x00ba8000 0x00968000 0x00868000 0x01b78000
0x4400000023bce222 0x04e28000 0x02908000 0x019e8000 0x00fd8000 0x00bc8000 0x008c8000 0x00708000 0x00658000 0x01c78000 0x04c28000 0x02908000 0x01bd8000 0x01218000 0x00d08000 0x00a18000 0x00828000 0x00758000 0x01e48000
0xb300000023a66622 0x030d8000 0x01c58000 0x01488000 0x00f68000 0x00be8000 0x009b8000 0x00898000 0x007e8000 0x01cb8000 0x04078000 0x02518000 0x016f8000 0x00f68000 0x00aa8000 0x008e8000 0x00768000 0x00688000 0x01fe8000
0x5b00000023bad022 0x02ce8000 0x01968000 0x00fa8000 0x00cb8000 0x00a28000 0x00838000 0x00718000 0x00658000 0x01d38000 0x034b8000 0x02138000 0x014f8000 0x01058000 0x00ca8000 0x00a78000 0x00918000 0x00858000 0x01d28000
0x21000000239f1a22 0x03e88000 0x02328000 0x01778000 0x00fd8000 0x00b48000 0x008d8000 0x00738000 0x00658000 0x01d48000 0x038a8000 0x02038000 0x016f8000 0x00fd8000 0x00d08000 0x00b48000 0x00998000 0x00918000 0x01e68000
0x220000002b499b22 0x06788000 0x03a98000 0x022a8000 0x014c8000 0x00e28000 0x00af8000 0x00848000 0x00738000 0x01fc8000 0x059d8000 0x036b8000 0x02228000 0x015f8000 0x01058000 0x00d58000 0x00b18000 0x00a08000 0x02668000
0x2300000023be1b22 0x053f8000 0x029f8000 0x01e48000 0x01348000 0x00d48000 0x00a18000 0x007f8000 0x00718000 0x019a8000 0x036b8000 0x02618000 0x01678000 0x00fd8000 0x00ba8000 0x00988000 0x00818000 0x00718000 0x01608000
0x3200000023a64722 0x030d8000 0x01a58000 0x00e28000 0x00de8000 0x00ae8000 0x00868000 0x00738000 0x00678000 0x01f78000 0x030d8000 0x01f48000 0x01218000 0x00da8000 0x009a8000 0x007d8000 0x006c8000 0x00608000 0x023e8000
0xda00000023a95322 0x04268000 0x02808000 0x019e8000 0x01198000 0x00c48000 0x009a8000 0x00808000 0x00728000 0x01a18000 0x038a8000 0x02518000 0x017e8000 0x01018000 0x00b08000 0x00938000 0x007b8000 0x006c8000 0x01d28000
0x7700000023b17022 0x04268000 0x02808000 0x01868000 0x01118000 0x00ba8000 0x00948000 0x00768000 0x006a8000 0x02178000 0x01778000 0x00ea8000 0x009c8000 0x00908000 0x00828000 0x00728000 0x00648000 0x005f8000 0x01ce8000
0x6200000023ad6e22 0x07b08000 0x04368000 0x02988000 0x01a18000 0x01218000 0x00d88000 0x00b08000 0x009a8000 0x02658000 0x06d68000 0x04078000 0x02808000 0x019a8000 0x012d8000 0x00ed8000 0x00c38000 0x00ae8000 0x026d8000
0x9700000023a66922 0x06788000 0x037a8000 0x021b8000 0x01678000 0x01018000 0x00cc8000 0x00a78000 0x00958000 0x02298000 0x05bc8000 0x034b8000 0x01dc8000 0x01308000 0x00d28000 0x009c8000 0x00798000 0x00688000 0x01ff8000
0xe800000023b7e622 0x05bc8000 0x037a8000 0x02138000 0x01488000 0x00d28000 0x00a08000 0x00838000 0x00738000 0x01d78000 0x03c88000 0x02428000 0x016f8000 0x00fa8000 0x00aa8000 0x00858000 0x006e8000 0x00618000 0x01e48000
